Year,TDLS
1992,4.636739516
1993,4.6692607
1994,4.653061224
1995,
1996,3.763721903
1997,6.084959816
1998,8.043010753
1999,8.680994522
2000,9.900019604
2001,10.0181415
2002,10.73500967
2003,10.16515926
2004,9.915014164
2005,11.60902924
2006,15.06337342
2007,14.8091133
2008,16.2185985
2009,19.24856302
2010,23.74165383
2011,25.33541748
2012,
2013,
2014,22.92152292
2015,27.85279322
2016,26.80385057
2017,20.76231794
2018,25.01890359
2019,27.98241758
2020,28.37530531
2021,29.19508868
